id,name,averagePricePerUnit,regularSaleVelocity,universalisUrl,amount,amountTotalPrice,costItemId,costItemAmount,costItemName
6141,Cordial,415,406.39,https://universalis.app/market/6141,1,415,7610,10,Umbral Rock
6141,Cordial,415,406.39,https://universalis.app/market/6141,1,415,7611,10,Fragrant Log
6141,Cordial,415,406.39,https://universalis.app/market/6141,1,415,8030,5,Antumbral Rock
6141,Cordial,415,406.39,https://universalis.app/market/6141,1,415,8031,5,Redolent Log
4687,Stuffed Artichoke,801,0.96,https://universalis.app/market/4687,1,801,7690,5,Silver Sovereign
4720,Fish Soup,395,5.71,https://universalis.app/market/4720,1,395,7612,5,Spruce Plywood
4720,Fish Soup,395,5.71,https://universalis.app/market/4720,1,395,7613,5,Darksteel Hook
4720,Fish Soup,395,5.71,https://universalis.app/market/4720,1,395,7614,5,Darksteel Wire
4720,Fish Soup,395,5.71,https://universalis.app/market/4720,1,395,7615,5,Rose Gold Cog
4720,Fish Soup,395,5.71,https://universalis.app/market/4720,1,395,7616,5,Gryphonskin Strap
4720,Fish Soup,395,5.71,https://universalis.app/market/4720,1,395,7617,5,Silver Brocade
4720,Fish Soup,395,5.71,https://universalis.app/market/4720,1,395,7618,5,Spirits of Salt
4720,Fish Soup,395,5.71,https://universalis.app/market/4720,1,395,7619,5,Spicy Tomato Relish
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10124,1,Moonstone
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10120,6,Magicked Oilcloth
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10121,6,Bamboo Paper
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10122,6,Glacier Crystal
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10112,6,Urushi
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10113,6,Composite Whetstone
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10114,6,Heat-resistant Plaster
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10115,6,Clear Fluorite
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10116,6,Lampblack Linseed Oil
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10117,6,Camel Hair
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10118,6,Black Cinnabar
10146,Better Crowned Pie,5384,5.11,https://universalis.app/market/10146,1,5384,10119,6,Duck Bones
8150,Fieldcraft Demimateria III,1817,73.14,https://universalis.app/market/8150,1,1817,8032,1,Reinforced Spruce Plywood
8150,Fieldcraft Demimateria III,1817,73.14,https://universalis.app/market/8150,1,1817,8033,1,Balanced Darksteel Hook
8150,Fieldcraft Demimateria III,1817,73.14,https://universalis.app/market/8150,1,1817,8034,1,Reinforced Darksteel Wire
8150,Fieldcraft Demimateria III,1817,73.14,https://universalis.app/market/8150,1,1817,8035,1,Calibrated Rose Gold Cog
8150,Fieldcraft Demimateria III,1817,73.14,https://universalis.app/market/8150,1,1817,8036,1,Water-hardened Hippogryph Strap
8150,Fieldcraft Demimateria III,1817,73.14,https://universalis.app/market/8150,1,1817,8037,1,Intricate Silver Brocade
8150,Fieldcraft Demimateria III,1817,73.14,https://universalis.app/market/8150,1,1817,8038,1,Concentrated Spirits of Salt
8150,Fieldcraft Demimateria III,1817,73.14,https://universalis.app/market/8150,1,1817,8039,1,Rich Tomato Relish
6178,Wide-eyed Fawn,660,1.36,https://universalis.app/market/6178,1,660,28,3,Allagan Tomestone of Poetics
6189,Dust Bunny,267,1.18,https://universalis.app/market/6189,1,267,28,3,Allagan Tomestone of Poetics
6198,Fledgling Dodo,392,1.39,https://universalis.app/market/6198,1,392,28,3,Allagan Tomestone of Poetics
14268,Faded Copy of Another Round,42,0.54,https://universalis.app/market/14268,1,42,28,500,Allagan Tomestone of Poetics
16805,Reflections Orchestrion Roll,8378,0.43,https://universalis.app/market/16805,1,8378,28,500,Allagan Tomestone of Poetics
17622,Frontiers Within Orchestrion Roll,8166,0.36,https://universalis.app/market/17622,1,8166,28,500,Allagan Tomestone of Poetics
12670,Old World Striking Dummy,97849,0.36,https://universalis.app/market/12670,1,97849,10307,300,Centurio Seal
17625,Thicker than a Knife's Blade Orchestrion Roll,89799,0.36,https://universalis.app/market/17625,1,89799,10307,300,Centurio Seal
10971,Mythrite Bracelet of Fending,51999,0.25,https://universalis.app/market/10971,1,51999,12236,1,Amber-encased Vilekin
10972,Hardsilver Bangle of Fending,43071,0.32,https://universalis.app/market/10972,1,43071,12236,1,Amber-encased Vilekin
10973,Opal Bracelet of Fending,50000,0.11,https://universalis.app/market/10973,1,50000,12236,1,Amber-encased Vilekin
10983,Yeti Fang Ring of Fending,17898,0.57,https://universalis.app/market/10983,1,17898,12236,1,Amber-encased Vilekin
10984,Mormorion Ring of Fending,24316,0.5,https://universalis.app/market/10984,1,24316,12236,1,Amber-encased Vilekin
10985,Opal Ring of Fending,21166,0.29,https://universalis.app/market/10985,1,21166,12236,1,Amber-encased Vilekin
10986,Griffin Talon Ring of Fending,15061,0.14,https://universalis.app/market/10986,1,15061,12236,1,Amber-encased Vilekin
10995,Mythrite Bracelet of Slaying,34950,0.11,https://universalis.app/market/10995,1,34950,12236,1,Amber-encased Vilekin
10996,Hardsilver Bangle of Slaying,55000,0.21,https://universalis.app/market/10996,1,55000,12236,1,Amber-encased Vilekin
11007,Yeti Fang Ring of Slaying,40346,0.39,https://universalis.app/market/11007,1,40346,12236,1,Amber-encased Vilekin
11008,Mormorion Ring of Slaying,100000,0.14,https://universalis.app/market/11008,1,100000,12236,1,Amber-encased Vilekin
11009,Opal Ring of Slaying,19124,0.07,https://universalis.app/market/11009,1,19124,12236,1,Amber-encased Vilekin
11010,Griffin Talon Ring of Slaying,45064,0.11,https://universalis.app/market/11010,1,45064,12236,1,Amber-encased Vilekin
11019,Mythrite Bracelet of Aiming,28374,0.14,https://universalis.app/market/11019,1,28374,12236,1,Amber-encased Vilekin
11020,Hardsilver Bangle of Aiming,35247,0.21,https://universalis.app/market/11020,1,35247,12236,1,Amber-encased Vilekin
11031,Yeti Fang Ring of Aiming,34566,0.29,https://universalis.app/market/11031,1,34566,12236,1,Amber-encased Vilekin
11032,Mormorion Ring of Aiming,41849,0.11,https://universalis.app/market/11032,1,41849,12236,1,Amber-encased Vilekin
11034,Griffin Talon Ring of Aiming,18998,0.21,https://universalis.app/market/11034,1,18998,12236,1,Amber-encased Vilekin
11043,Mythrite Bracelet of Healing,89000,0.07,https://universalis.app/market/11043,1,89000,12236,1,Amber-encased Vilekin
11044,Hardsilver Bangle of Healing,43962,0.18,https://universalis.app/market/11044,1,43962,12236,1,Amber-encased Vilekin
11055,Yeti Fang Ring of Healing,40749,0.5,https://universalis.app/market/11055,1,40749,12236,1,Amber-encased Vilekin
11056,Mormorion Ring of Healing,57500,0.21,https://universalis.app/market/11056,1,57500,12236,1,Amber-encased Vilekin
11058,Griffin Talon Ring of Healing,35000,0.11,https://universalis.app/market/11058,1,35000,12236,1,Amber-encased Vilekin
11068,Hardsilver Bangle of Casting,49998,0.75,https://universalis.app/market/11068,1,49998,12236,1,Amber-encased Vilekin
11069,Opal Bracelet of Casting,99300,0.07,https://universalis.app/market/11069,1,99300,12236,1,Amber-encased Vilekin
11070,Aurum Regis Bracelet of Casting,37000,0.07,https://universalis.app/market/11070,1,37000,12236,1,Amber-encased Vilekin
11079,Yeti Fang Ring of Casting,23742,0.68,https://universalis.app/market/11079,1,23742,12236,1,Amber-encased Vilekin
11080,Mormorion Ring of Casting,66498,0.29,https://universalis.app/market/11080,1,66498,12236,1,Amber-encased Vilekin
11082,Griffin Talon Ring of Casting,43499,0.14,https://universalis.app/market/11082,1,43499,12236,1,Amber-encased Vilekin
12931,Purified Coke,261,1.86,https://universalis.app/market/12931,5,1305,12839,2,Blue Crafters' Scrip Token
12932,Raziqcoat,158,6.75,https://universalis.app/market/12932,5,790,12839,2,Blue Crafters' Scrip Token
12933,Dryad Sap,1387,11.07,https://universalis.app/market/12933,5,6935,12839,2,Blue Crafters' Scrip Token
12935,Odorless Animal Fat,181,0.46,https://universalis.app/market/12935,5,905,12839,2,Blue Crafters' Scrip Token
12633,Skyspring Water,101,0.36,https://universalis.app/market/12633,3,303,12839,2,Blue Crafters' Scrip Token
5890,Storm Tracer,50,33.82,https://universalis.app/market/5890,5,250,10333,1,Faire Token XV
5891,Flame Tracer,114,5.36,https://universalis.app/market/5891,5,570,10333,1,Faire Token XV
5892,Serpent Tracer,89,0.14,https://universalis.app/market/5892,5,445,10333,1,Faire Token XV
5893,Lominsan Sparkler,109,15,https://universalis.app/market/5893,5,545,10333,1,Faire Token XV
5894,Gridanian Sparkler,166,24.18,https://universalis.app/market/5894,5,830,10333,1,Faire Token XV
5895,Ul'dahn Sparkler,36,10.46,https://universalis.app/market/5895,5,180,10333,1,Faire Token XV
5902,Bombard Bloom,225,97.64,https://universalis.app/market/5902,5,1125,10333,1,Faire Token XV
8216,Pinwheel,68,41.68,https://universalis.app/market/8216,5,340,10333,1,Faire Token XV
2234,Warded Round Shield,199,0.5,https://universalis.app/market/2234,1,199,12995,1,Silver Chocobo Feather
5888,Peach Confetti,67,28.75,https://universalis.app/market/5888,10,670,13741,1,Outdated Certificate of Collaboration
5889,Cherry Confetti,82,73.39,https://universalis.app/market/5889,10,820,13741,1,Outdated Certificate of Collaboration
5091,Bronze Rivets,120,88.25,https://universalis.app/market/5091,3,360,21076,1,Steel Amalj'ok
5071,Bronze Plate,136,28.93,https://universalis.app/market/5071,3,408,21076,1,Steel Amalj'ok
5057,Iron Ingot,81,280.79,https://universalis.app/market/5057,3,243,21076,1,Steel Amalj'ok
5092,Iron Rivets,459,73.96,https://universalis.app/market/5092,3,1377,21076,1,Steel Amalj'ok
5072,Iron Plate,292,50.29,https://universalis.app/market/5072,3,876,21076,1,Steel Amalj'ok
5058,Steel Ingot,355,650.5,https://universalis.app/market/5058,3,1065,21076,1,Steel Amalj'ok
5093,Steel Rivets,806,108.54,https://universalis.app/market/5093,3,2418,21076,1,Steel Amalj'ok
5073,Steel Plate,792,16.75,https://universalis.app/market/5073,3,2376,21076,1,Steel Amalj'ok
5083,Steel Rings,194,13,https://universalis.app/market/5083,3,582,21076,1,Steel Amalj'ok
5065,Mythril Ingot,523,383.25,https://universalis.app/market/5065,3,1569,21076,1,Steel Amalj'ok
5099,Mythril Rivets,1830,69.07,https://universalis.app/market/5099,3,5490,21076,1,Steel Amalj'ok
5089,Mythril Rings,327,20.68,https://universalis.app/market/5089,3,981,21076,1,Steel Amalj'ok
5767,Coeurl Yellow Dye,220,10.75,https://universalis.app/market/5767,1,220,21076,1,Steel Amalj'ok
5790,Seafog Blue Dye,399,18.36,https://universalis.app/market/5790,1,399,21076,1,Steel Amalj'ok
5797,Raptor Blue Dye,449,27.07,https://universalis.app/market/5797,1,449,21076,1,Steel Amalj'ok
5770,Raisin Brown Dye,1290,8.54,https://universalis.app/market/5770,1,1290,21076,1,Steel Amalj'ok
5791,Peacock Blue Dye,399,28.14,https://universalis.app/market/5791,1,399,21076,1,Steel Amalj'ok
5807,Currant Purple Dye,846,44.14,https://universalis.app/market/5807,1,846,21076,1,Steel Amalj'ok
6686,Amalj'aa Supply Carriage,9747,0.11,https://universalis.app/market/6686,1,9747,21076,1,Steel Amalj'ok
7621,Glamour Dispeller,362,853.93,https://universalis.app/market/7621,1,362,21076,1,Steel Amalj'ok
5342,Straw,104,303.36,https://universalis.app/market/5342,3,312,21075,1,Sylphic Goldleaf
5334,Cotton Yarn,87,257,https://universalis.app/market/5334,3,261,21075,1,Sylphic Goldleaf
5325,Undyed Cotton Cloth,98,165,https://universalis.app/market/5325,3,294,21075,1,Sylphic Goldleaf
5326,Undyed Velveteen,270,197.29,https://universalis.app/market/5326,3,810,21075,1,Sylphic Goldleaf
5336,Linen Yarn,341,244.89,https://universalis.app/market/5336,3,1023,21075,1,Sylphic Goldleaf
5327,Undyed Linen,859,55.46,https://universalis.app/market/5327,3,2577,21075,1,Sylphic Goldleaf
7028,Sylphic Silk,2598,11.54,https://universalis.app/market/7028,3,7794,21075,1,Sylphic Goldleaf
5352,Crow Feather,86,34.96,https://universalis.app/market/5352,3,258,21075,1,Sylphic Goldleaf
5360,Wildfowl Feather,219,174.89,https://universalis.app/market/5360,3,657,21075,1,Sylphic Goldleaf
5753,Aldgoat Brown Dye,1072,34.46,https://universalis.app/market/5753,1,1072,21075,1,Sylphic Goldleaf
5759,Shale Brown Dye,1607,40.11,https://universalis.app/market/5759,1,1607,21075,1,Sylphic Goldleaf
5773,Lime Green Dye,535,40.29,https://universalis.app/market/5773,1,535,21075,1,Sylphic Goldleaf
5777,Marsh Green Dye,597,15.43,https://universalis.app/market/5777,1,597,21075,1,Sylphic Goldleaf
5751,Qiqirn Brown Dye,829,15,https://universalis.app/market/5751,1,829,21075,1,Sylphic Goldleaf
5755,Acorn Brown Dye,2240,16.25,https://universalis.app/market/5755,1,2240,21075,1,Sylphic Goldleaf
5779,Cactuar Green Dye,1242,21.82,https://universalis.app/market/5779,1,1242,21075,1,Sylphic Goldleaf
5786,Turquoise Green Dye,733,24.46,https://universalis.app/market/5786,1,733,21075,1,Sylphic Goldleaf
6495,Sylphic Lamp Tree,47824,0.29,https://universalis.app/market/6495,1,47824,21075,1,Sylphic Goldleaf
6496,Sylphic Lamppost,39666,0.29,https://universalis.app/market/6496,1,39666,21075,1,Sylphic Goldleaf
7621,Glamour Dispeller,362,853.93,https://universalis.app/market/7621,1,362,21075,1,Sylphic Goldleaf
5436,Aldgoat Horn,338,460.61,https://universalis.app/market/5436,3,1014,21078,1,Titan Cobaltpiece
5489,Quicksilver,47,271.29,https://universalis.app/market/5489,3,141,21078,1,Titan Cobaltpiece
5492,Beastkin Blood,5,23.64,https://universalis.app/market/5492,3,15,21078,1,Titan Cobaltpiece
5493,Scalekin Blood,348,47.82,https://universalis.app/market/5493,3,1044,21078,1,Titan Cobaltpiece
5557,Jellyfish Umbrella,76,72.79,https://universalis.app/market/5557,3,228,21078,1,Titan Cobaltpiece
5528,Bomb Ash,168,429.18,https://universalis.app/market/5528,3,504,21078,1,Titan Cobaltpiece
5549,Blue Landtrap Leaf,253,63.71,https://universalis.app/market/5549,3,759,21078,1,Titan Cobaltpiece
5554,Morbol Vine,17,24,https://universalis.app/market/5554,3,51,21078,1,Titan Cobaltpiece
5490,Vitriol,465,13.54,https://universalis.app/market/5490,3,1395,21078,1,Titan Cobaltpiece
4831,Cloves,95,65.82,https://universalis.app/market/4831,3,285,21078,1,Titan Cobaltpiece
4876,Coral Butterfly,92,22.61,https://universalis.app/market/4876,3,276,21078,1,Titan Cobaltpiece
5772,Sylph Green Dye,399,12.39,https://universalis.app/market/5772,1,399,21078,1,Titan Cobaltpiece
5775,Meadow Green Dye,400,17.54,https://universalis.app/market/5775,1,400,21078,1,Titan Cobaltpiece
5763,Ul Brown Dye,1546,22.75,https://universalis.app/market/5763,1,1546,21078,1,Titan Cobaltpiece
5750,Cork Brown Dye,1230,23.32,https://universalis.app/market/5750,1,1230,21078,1,Titan Cobaltpiece
5758,Gobbiebag Brown Dye,1935,67.04,https://universalis.app/market/5758,1,1935,21078,1,Titan Cobaltpiece
5778,Apple Green Dye,1548,11.11,https://universalis.app/market/5778,1,1548,21078,1,Titan Cobaltpiece
5782,Adamantoise Green Dye,1494,13.36,https://universalis.app/market/5782,1,1494,21078,1,Titan Cobaltpiece
7127,Kobold Furnace,4950,0.07,https://universalis.app/market/7127,1,4950,21078,1,Titan Cobaltpiece
7621,Glamour Dispeller,362,853.93,https://universalis.app/market/7621,1,362,21078,1,Titan Cobaltpiece
4847,Table Salt,11,160.93,https://universalis.app/market/4847,3,33,21077,1,Rainbowtide Psashp
4828,Cinnamon,110,234.57,https://universalis.app/market/4828,3,330,21077,1,Rainbowtide Psashp
4829,Garlean Garlic,384,136.46,https://universalis.app/market/4829,3,1152,21077,1,Rainbowtide Psashp
4853,Smooth Butter,76,118.21,https://universalis.app/market/4853,3,228,21077,1,Rainbowtide Psashp
4826,Sunset Wheat Flour,75,305.46,https://universalis.app/market/4826,3,225,21077,1,Rainbowtide Psashp
4857,Olive Oil,344,41.46,https://universalis.app/market/4857,3,1032,21077,1,Rainbowtide Psashp
4830,Black Pepper,130,47.71,https://universalis.app/market/4830,3,390,21077,1,Rainbowtide Psashp
4811,Sun Lemon,120,147.29,https://universalis.app/market/4811,3,360,21077,1,Rainbowtide Psashp
6149,Night Milk,276,256.14,https://universalis.app/market/6149,3,828,21077,1,Rainbowtide Psashp
4837,Midland Basil,167,37.68,https://universalis.app/market/4837,3,501,21077,1,Rainbowtide Psashp
5736,Lilac Purple Dye,399,20.54,https://universalis.app/market/5736,1,399,21077,1,Rainbowtide Psashp
5793,Corpse Blue Dye,730,20.32,https://universalis.app/market/5793,1,730,21077,1,Rainbowtide Psashp
5805,Lavender Purple Dye,614,29.57,https://universalis.app/market/5805,1,614,21077,1,Rainbowtide Psashp
5741,Coral Pink Dye,372,13.64,https://universalis.app/market/5741,1,372,21077,1,Rainbowtide Psashp
5792,Rhotano Blue Dye,539,36.54,https://universalis.app/market/5792,1,539,21077,1,Rainbowtide Psashp
5803,Shadow Blue Dye,396,18.54,https://universalis.app/market/5803,1,396,21077,1,Rainbowtide Psashp
5808,Iris Purple Dye,563,25.71,https://universalis.app/market/5808,1,563,21077,1,Rainbowtide Psashp
7122,Sahagin Living Lamp,74798,0.25,https://universalis.app/market/7122,1,74798,21077,1,Rainbowtide Psashp
7621,Glamour Dispeller,362,853.93,https://universalis.app/market/7621,1,362,21077,1,Rainbowtide Psashp
12586,Birch Branch,19,33.82,https://universalis.app/market/12586,1,19,21074,1,Vanu Whitebone
12891,Birch Sap,266,137.21,https://universalis.app/market/12891,1,266,21074,1,Vanu Whitebone
5888,Peach Confetti,67,28.75,https://universalis.app/market/5888,10,670,13741,1,Outdated Certificate of Collaboration
5889,Cherry Confetti,82,73.39,https://universalis.app/market/5889,10,820,13741,1,Outdated Certificate of Collaboration
14238,Tenacity Orchestrion Roll,395000,0.07,https://universalis.app/market/14238,1,395000,12236,3,Amber-encased Vilekin
2,Fire Shard,69,12014.79,https://universalis.app/market/2,15,1035,14944,2,Chipped Fortune Egg
3,Ice Shard,63,13349.43,https://universalis.app/market/3,15,945,14944,2,Chipped Fortune Egg
4,Wind Shard,68,9793.36,https://universalis.app/market/4,15,1020,14944,2,Chipped Fortune Egg
5,Earth Shard,63,3286.29,https://universalis.app/market/5,15,945,14944,2,Chipped Fortune Egg
6,Lightning Shard,77,5415.29,https://universalis.app/market/6,15,1155,14944,2,Chipped Fortune Egg
7,Water Shard,73,7450.43,https://universalis.app/market/7,15,1095,14944,2,Chipped Fortune Egg
8,Fire Crystal,56,36206.68,https://universalis.app/market/8,10,560,14944,2,Chipped Fortune Egg
9,Ice Crystal,48,17882.68,https://universalis.app/market/9,10,480,14944,2,Chipped Fortune Egg
10,Wind Crystal,66,42431.57,https://universalis.app/market/10,10,660,14944,2,Chipped Fortune Egg
11,Earth Crystal,33,22949.75,https://universalis.app/market/11,10,330,14944,2,Chipped Fortune Egg
12,Lightning Crystal,37,25944.03,https://universalis.app/market/12,10,370,14944,2,Chipped Fortune Egg
13,Water Crystal,50,27163.25,https://universalis.app/market/13,10,500,14944,2,Chipped Fortune Egg
6189,Dust Bunny,267,1.18,https://universalis.app/market/6189,1,267,14944,5,Chipped Fortune Egg
7544,Spriggan Cap,348434,0.43,https://universalis.app/market/7544,1,348434,14944,15,Chipped Fortune Egg
4868,Gysahl Greens,174,256.75,https://universalis.app/market/4868,1,174,21079,1,Black Copper Gil
7895,Sylkis Bud,1772,18.07,https://universalis.app/market/7895,1,1772,21079,1,Black Copper Gil
7897,Mimett Gourd,1197,24.07,https://universalis.app/market/7897,1,1197,21079,1,Black Copper Gil
7898,Tantalplant,590,10.32,https://universalis.app/market/7898,1,590,21079,1,Black Copper Gil
7900,Pahsana Fruit,1466,6.79,https://universalis.app/market/7900,1,1466,21079,1,Black Copper Gil
5527,Brimstone,167,47.29,https://universalis.app/market/5527,1,167,21079,1,Black Copper Gil
12611,Black Firesand,2434,10.43,https://universalis.app/market/12611,1,2434,21079,1,Black Copper Gil
12524,Titanium Nugget,1078,173.39,https://universalis.app/market/12524,1,1078,21079,1,Black Copper Gil
12522,Aurum Regis Nugget,1599,68.96,https://universalis.app/market/12522,1,1599,21079,1,Black Copper Gil
12520,Hardsilver Nugget,878,101.36,https://universalis.app/market/12520,1,878,21079,1,Black Copper Gil
12518,Mythrite Nugget,1431,104.54,https://universalis.app/market/12518,1,1431,21079,1,Black Copper Gil
5633,Piety Materia V,108,18.04,https://universalis.app/market/5633,1,108,15110,1,Mhachi Matter
5668,Heavens' Eye Materia V,143,72.18,https://universalis.app/market/5668,1,143,15110,1,Mhachi Matter
5673,Savage Aim Materia V,181,92.5,https://universalis.app/market/5673,1,181,15110,1,Mhachi Matter
5678,Savage Might Materia V,110,66.43,https://universalis.app/market/5678,1,110,15110,1,Mhachi Matter
5683,Battledance Materia V,110,25.39,https://universalis.app/market/5683,1,110,15110,1,Mhachi Matter
5718,Quickarm Materia V,166,47.68,https://universalis.app/market/5718,1,166,15110,1,Mhachi Matter
5723,Quicktongue Materia V,127,39,https://universalis.app/market/5723,1,127,15110,1,Mhachi Matter
5688,Gatherer's Guerdon Materia V,810,18.86,https://universalis.app/market/5688,1,810,16783,1,Mhachi Demimatter
5693,Gatherer's Guile Materia V,722,13.75,https://universalis.app/market/5693,1,722,16783,1,Mhachi Demimatter
5698,Gatherer's Grasp Materia V,382,8.89,https://universalis.app/market/5698,1,382,16783,1,Mhachi Demimatter
5703,Craftsman's Competence Materia V,387,15.75,https://universalis.app/market/5703,1,387,16783,1,Mhachi Demimatter
5708,Craftsman's Cunning Materia V,6363,50.89,https://universalis.app/market/5708,1,6363,16783,1,Mhachi Demimatter
5713,Craftsman's Command Materia V,627,21.68,https://universalis.app/market/5713,1,627,16783,1,Mhachi Demimatter
18011,Piety Materia VI,158,7.57,https://universalis.app/market/18011,1,158,18030,1,Cracked Cluster
18018,Heavens' Eye Materia VI,444,35.39,https://universalis.app/market/18018,1,444,18030,1,Cracked Cluster
18019,Savage Aim Materia VI,317,74.32,https://universalis.app/market/18019,1,317,18030,1,Cracked Cluster
18020,Savage Might Materia VI,442,40.04,https://universalis.app/market/18020,1,442,18030,1,Cracked Cluster
18021,Battledance Materia VI,181,10.79,https://universalis.app/market/18021,1,181,18030,1,Cracked Cluster
